Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-08-17,Do the Right Thing,1989,https://boxd.it/77ewZn,4.5,,,2024-08-16
2024-08-20,Hard Boiled,1992,https://boxd.it/78Nn97,4,,,2024-08-19
2024-08-21,Carrie,1976,https://boxd.it/79cReL,4.5,,,2024-08-20
2024-08-27,Taste of the Sea,1983,https://boxd.it/7c0ya9,5,,,2024-08-26
2024-09-01,Coup de Chance,2023,https://boxd.it/7ecSIx,3,,,2024-09-01
2024-09-04,Before Midnight,2013,https://boxd.it/7fHaB9,5,,,2024-09-03
2024-09-09,Serpico,1973,https://boxd.it/7hQgWj,4.5,,,2024-09-07
2024-09-09,Eraserhead,1977,https://boxd.it/7hYSDl,4.5,,,2024-09-08
2024-09-10,Raging Bull,1980,https://boxd.it/7iuCMl,4.5,,,2024-09-09
2024-09-19,Dazed and Confused,1993,https://boxd.it/7mk4FV,4,,,2024-09-18
2024-09-23,Some Like It Hot,1959,https://boxd.it/7o9L8V,5,,,2024-09-22
2024-09-27,The Sound of Music,1965,https://boxd.it/7pJv6P,5,,,2024-09-25
2024-10-01,Dog Day Afternoon,1975,https://boxd.it/7rEl5F,4.5,,,2024-09-30
2024-10-02,Antichrist,2009,https://boxd.it/7s2Xgp,4,,,2024-10-01
2024-10-03,Hellraiser,1987,https://boxd.it/7suJuN,4,,,2024-10-02
2024-10-04,Groundhog Day,1993,https://boxd.it/7sVTdB,5,,,2024-10-03
2024-10-06,Joker: Folie à Deux,2024,https://boxd.it/7tWWwd,3,,,2024-10-05
2024-10-08,Rushmore,1998,https://boxd.it/7v1RwL,5,,,2024-10-07
2024-10-11,Ichi the Killer,2001,https://boxd.it/7wkT89,4,,,2024-10-11
2024-10-13,Deadpool & Wolverine,2024,https://boxd.it/7xgyTz,3,,,2024-10-12
2024-10-20,Friday the 13th,1980,https://boxd.it/7AYEnp,4,,,2024-10-20
2024-10-21,Beetlejuice,1988,https://boxd.it/7BxvBx,4,,,2024-10-20
2024-10-24,Ran,1985,https://boxd.it/7D1gJZ,5,,,2024-10-23
2024-10-26,The Wizard of Oz,1939,https://boxd.it/7DXy6H,5,,,2024-10-25
2024-11-04,Parthenope,2024,https://boxd.it/7J24rP,4.5,,,2024-11-03
2024-11-06,Jurassic Park,1993,https://boxd.it/7JWZwp,4.5,,,2024-11-05
2024-11-08,The Substance,2024,https://boxd.it/7KLgNd,4,,,2024-11-07
2024-11-09,Look Back,2024,https://boxd.it/7Lcbeh,5,,,2024-11-08
2024-11-12,A Woman Under the Influence,1974,https://boxd.it/7MVyur,5,,,2024-11-10
2024-11-18,Submarine,2010,https://boxd.it/7PT77N,5,,,2024-11-17
2024-11-19,Ferris Bueller's Day Off,1986,https://boxd.it/7QqY5B,5,,,2024-11-18
2024-11-22,Wicked,2024,https://boxd.it/7ROjtJ,4.5,,,2024-11-21
2024-12-06,Frances Ha,2012,https://boxd.it/7YP2ed,4.5,,,2024-12-05
2024-12-15,The Witch,2015,https://boxd.it/83h7Gt,4.5,,,2024-12-14
2024-12-19,It's Such a Beautiful Day,2012,https://boxd.it/85Bw8z,5,,,2024-12-18
2024-12-22,Coraline,2009,https://boxd.it/87dKCN,4,,,2024-12-21
2024-12-25,Anora,2024,https://boxd.it/89uKKf,4.5,,,2024-12-24
2024-12-26,A Nonsense Christmas with Sabrina Carpenter,2024,https://boxd.it/8aaLkB,3,,,2024-12-25
2024-12-31,Guillermo del Toro's Pinocchio,2022,https://boxd.it/8eOWM3,4,,,2024-12-30
2024-12-31,Corpse Bride,2005,https://boxd.it/8eUZtP,4.5,,,2024-12-31
2025-01-02,"Paris, Texas",1984,https://boxd.it/8gDASJ,4.5,,,2025-01-01
2025-01-03,Nosferatu,2024,https://boxd.it/8hMnZp,5,,,2025-01-02
2025-01-06,Under the Tuscan Sun,2003,https://boxd.it/8ktn9x,3,,,2025-01-05
